Annotation,Domain ID,Matched Members,Matched Count,Summed Significance Score,Enrichment P-value,Enrichment Q-value,Depletion P-value,Depletion Q-value
metaphase/anaphase transition of mitotic cell cycle,48,APC1;APC11;APC2;APC5;BUB1;BUB3;CDC16;CDC23;CDC27;CDC55;CDH1;CEP3;CHL4;CTF19;CTF3;DSL1;FIN1;GAC1;GLC7;IBD2;ISC1;MAD1;MAD2;MND2;MPS1;SDS23;SDS24;SPC105;SWM1;TPD3;ULP2,31,20.1830299622427,0.003,0.2770714285714286,1.0,1.0
transcription open complex formation at RNA polymerase II promoter,32,ROX3;SRB5;SSL2;SUA7;TFA1,5,60.0,0.001,0.14366666666666666,1.0,1.0
ribonucleoside diphosphate metabolic process,38,ADK1;ADK2;CDC19;EMI2;ENO1;ENO2;FBA1;GLK1;GPM1;GPM2;HXK1;HXK2;PDA1;PDB1;PFK1;PFK2;PFK27;PGI1;PGK1;PYK2;TDH1;TDH2;TDH3;TPI1;URA6,25,70.4948500216801,0.001,0.061571428571428576,1.0,1.0
coenzyme A biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of protein-containing complex disassembly,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of gluconeogenesis,-1,,0,0.0,1.0,1.0,1.0,1.0
protein insertion into mitochondrial outer membrane,52,DJP1;MDM10;MMM1;SAM35;SAM37;SAM50;TOM22,7,14.0,0.01,1.0,1.0,1.0
generation of catalytic spliceosome for first transesterification step,20,CWC24;IST3;PRP19;PRP2;SNU114;SPP381;SPP382;SYF1;YJU2,9,165.93398985691138,0.001,0.21550000000000002,1.0,1.0
negative regulation of protein depolymerization,-1,,0,0.0,1.0,1.0,1.0,1.0
carbon catabolite activation of transcription,-1,,0,0.0,1.0,1.0,1.0,1.0
cytogamy,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of actomyosin structure organization,-1,,0,0.0,1.0,1.0,1.0,1.0
cytoskeleton-dependent intracellular transport,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of TOR signaling,-1,,0,0.0,1.0,1.0,1.0,1.0
homologous chromosome segregation,-1,,0,0.0,1.0,1.0,1.0,1.0
rRNA transcription,-1,,0,0.0,1.0,1.0,1.0,1.0
nucleotide-sugar metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
protein processing,-1,,0,0.0,1.0,1.0,1.0,1.0
mannose transmembrane transport,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of Arp2/3 complex-mediated actin nucleation,-1,,0,0.0,1.0,1.0,1.0,1.0
attachment of spindle microtubules to kinetochore,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of invasive growth in response to glucose limitation,-1,,0,0.0,1.0,1.0,1.0,1.0
nuclear polyadenylation-dependent mRNA catabolic process,31,DBP2;MTR4;PAP2;RRP42;RRP43;RRP45;RRP46;RRP6;TRF5,9,141.46470587995725,0.001,0.036942857142857145,0.993,1.0
re-entry into mitotic cell cycle after pheromone arrest,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of RNA polymerase II transcription preinitiation complex assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of endocytosis,-1,,0,0.0,1.0,1.0,1.0,1.0
mating type switching,-1,,0,0.0,1.0,1.0,1.0,1.0
poly(A)+ mRNA export from nucleus,56,DBP5;ENP1;GBP2;GLE2;GSP1;HRB1;MEX67;MLP1;MLP2;MTR2;NAB2;NEW1;NIC96;NSP1;NUP1;NUP116;NUP133;NUP145;NUP159;NUP2;NUP49;NUP60;SPN1;SPT6;SRM1;SSL2;SUS1;THO1;THP1;UBP15;YJR084W;YRA2,32,18.0,0.001,0.09235714285714286,1.0,1.0
pyrimidine ribonucleotide biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
translation reinitiation,-1,,0,0.0,1.0,1.0,1.0,1.0
deadenylation-independent decapping of nuclear-transcribed mRNA,44,CDC36;DCP1;DCP2;EDC1;EDC3;MOT2;NOT5;RAI1,8,34.309803919971486,0.001,0.14366666666666666,1.0,1.0
pyridine-containing compound biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of proteasomal protein catabolic process,14,BLM10;CDH1;MND2;PTH2;RPT1;RPT2;RPT3;RPT4;RPT5;RPT6;UBP6,11,123.0,0.001,0.06805263157894736,1.0,1.0
cellular response to oxygen radical,15,CCS1;CUP1-1;CUP1-2;MRP1;RSM26;SOD1;SOD2;TRR1;TRR2,9,83.25499859425113,0.003,1.0,1.0,1.0
regulation of cytoplasmic translation,-1,,0,0.0,1.0,1.0,1.0,1.0
attachment of mitotic spindle microtubules to kinetochore,-1,,0,0.0,1.0,1.0,1.0,1.0
cellular oxidant detoxification,-1,,0,0.0,1.0,1.0,1.0,1.0
glycerol metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of protein phosphorylation,-1,,0,0.0,1.0,1.0,1.0,1.0
maintenance of protein localization in organelle,27,EMP24;EPS1;ERD2;ERP1;ERP2;ERP3;ERP4;PTP2;RER1;SDS22;WTM1,11,90.0,0.001,0.09946153846153846,0.996,1.0
positive regulation of mitotic cell cycle,48,APC11;APC5;CCR4;CDC16;CDC23;CDC25;CDC28;CDC55;CDH1;CLN1;CYS4;DBF4;FIN1;FKH1;FKH2;GID8;GLC7;IGO1;IGO2;LTE1;MIH1;MND2;NUD1;RIM15;SDA1;WHI3;WHI5;XRN1;ZDS1;ZDS2,30,24.0,0.001,0.11754545454545455,1.0,1.0
negative regulation of meiotic nuclear division,-1,,0,0.0,1.0,1.0,1.0,1.0
ncRNA export from nucleus,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of phosphorus metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of protein-containing complex assembly,14,ASK1;BIM1;CCL1;CDC33;DAD1;DAD2;DAD3;DAD4;DAM1;DED1;DST1;DUO1;ESS1;GCN4;HSK3;KIN28;NAP1;POB3;RPT1;RPT3;RPT4;RPT5;RPT6;SGF73;SLY1;SPC110;SPC19;SPC34;SPT16;TIF1;TIF2;TIF4631;TIF4632;VPS45,34,123.0,0.001,0.06805263157894736,1.0,1.0
protein stabilization,-1,,0,0.0,1.0,1.0,1.0,1.0
purine nucleobase biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
oligosaccharide catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of cell growth,-1,,0,0.0,1.0,1.0,1.0,1.0
response to antibiotic,-1,,0,0.0,1.0,1.0,1.0,1.0
fructose transmembrane transport,-1,,0,0.0,1.0,1.0,1.0,1.0
ubiquitin-dependent endocytosis,-1,,0,0.0,1.0,1.0,1.0,1.0
nucleotide-sugar biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
mRNA polyadenylation,43,CFT1;CFT2;CLP1;FIR1;NAB2;PAP1;PCF11;PFS2;PTA1;SSU72;YSH1,11,30.0,0.001,0.11754545454545455,1.0,1.0
positive regulation of actin filament bundle assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of programmed cell death,-1,,0,0.0,1.0,1.0,1.0,1.0
leading strand elongation,-1,,0,0.0,1.0,1.0,1.0,1.0
isoprenoid metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
programmed cell death,-1,,0,0.0,1.0,1.0,1.0,1.0
adenine nucleotide transport,-1,,0,0.0,1.0,1.0,1.0,1.0
nuclear mRNA surveillance of mRNA 3'-end processing,-1,,0,0.0,1.0,1.0,1.0,1.0
TOR signaling,-1,,0,0.0,1.0,1.0,1.0,1.0
protein localization to Golgi apparatus,-1,,0,0.0,1.0,1.0,1.0,1.0
glucan biosynthetic process,60,FKS1;FKS3;GAC1;GAS1;GAS3;GAS5;GDB1;GIP2;GLC3;GLC8;GLG1;GLG2;GSC2;GSY1;GSY2;IGD1;KAR2;KRE5;KRE6;LRG1;PCL10;PCL6;PCL7;PCL8;PGM1;PHO85;PIG2;PSK1;RHO1;ROT2;SAK1;SKN1;SMI1;TRS65;UGP1,35,15.0,0.001,0.05621739130434782,1.0,1.0
antisense RNA metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of carbohydrate biosynthetic process,60,FYV10;GAC1;GID7;GID8;GIP2;KCS1;LRG1;PCL10;PCL6;PCL7;PCL8;PHO85;PIG2;PSK1;RHO1;RMD5;SAK1;SDH7;SNF1;SNF4;TSA1;UBC8;VID24;VID28;VID30,25,15.0,0.001,0.05621739130434782,1.0,1.0
negative regulation of DNA recombination,-1,,0,0.0,1.0,1.0,1.0,1.0
nucleoside diphosphate catabolic process,38,CDC19;EMI2;ENO1;ENO2;FBA1;GDA1;GLK1;GPM1;GPM2;HXK1;HXK2;PDA1;PDB1;PFK1;PFK2;PFK27;PGI1;PGK1;PYK2;TDH1;TDH2;TDH3;TPI1,23,70.4948500216801,0.001,0.061571428571428576,1.0,1.0
establishment of chromosome localization,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of transcription elongation by RNA polymerase I,17,BUD27;CDC73;CTR9;HPR1;LEO1;PAF1;RTF1;SPT4;SPT5;THO2,10,111.0,0.001,0.07605882352941176,1.0,1.0
tRNA methylation,-1,,0,0.0,1.0,1.0,1.0,1.0
"vacuole fusion, non-autophagic",-1,,0,0.0,1.0,1.0,1.0,1.0
peptidyl-serine phosphorylation,-1,,0,0.0,1.0,1.0,1.0,1.0
tRNA 5'-end processing,50,GEP5;PET130;POP1;POP4;POP5;POP7;PSP2;RPM2;RRG1;RRG8;THG1,11,19.443697499232712,0.001,0.2586,1.0,1.0
primary alcohol metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
tRNA threonylcarbamoyladenosine metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
establishment or maintenance of cytoskeleton polarity,-1,,0,0.0,1.0,1.0,1.0,1.0
erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of chromosome segregation,61,ASK1;CDC7;CDH1;DAD1;DAD2;DAD3;DAM1;DUO1;FIN1;HSK3;MND2;SPC19;SPC34,13,15.0,0.001,0.43100000000000005,1.0,1.0
positive regulation of transcription by galactose,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of glutamine family amino acid metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
benzene-containing compound metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of G1 to G0 transition,-1,,0,0.0,1.0,1.0,1.0,1.0
arginine biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
spliceosomal snRNP assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of protein autoubiquitination,-1,,0,0.0,1.0,1.0,1.0,1.0
glutamine metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
lactate metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
fungal-type cell wall chitin biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
re-entry into mitotic cell cycle,-1,,0,0.0,1.0,1.0,1.0,1.0
mitochondrial proton-transporting ATP synthase complex assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of autophagy,60,CTR9;GTR1;GTR2;KSP1;PAF1;PHO80;PHO85;PPG1;SIC1;SKN1;SPT4;TMA19;TOR1;TOR2;XRN1,15,15.0,0.001,0.05621739130434782,1.0,1.0
nucleolus organization,-1,,0,0.0,1.0,1.0,1.0,1.0
osmosensory signaling MAPK cascade,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of phosphorylation,-1,,0,0.0,1.0,1.0,1.0,1.0
folic acid metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
L-serine metabolic process,34,CHA1;CYS4;ILV1;LPD1;MCY1;PYP1;SER1;SER2;SER3;SER33;SHM1;SHM2,12,62.07631009972843,0.002,0.1724,0.992,1.0
purine ribonucleotide transport,-1,,0,0.0,1.0,1.0,1.0,1.0
intracellular lipid transport,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of proteolysis,-1,,0,0.0,1.0,1.0,1.0,1.0
cellular response to environmental stimulus,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of nitrogen utilization,-1,,0,0.0,1.0,1.0,1.0,1.0
protein catabolic process in the vacuole,-1,,0,0.0,1.0,1.0,1.0,1.0
"nuclear-transcribed mRNA catabolic process, RNase MRP-dependent",-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of cytoplasmic mRNA processing body assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
amino acid activation,46,AIM10;ARC1;CDC60;CRS1;DED81;DIA4;DPS1;FRS1;FRS2;GLN4;GRS1;GRS2;GTF1;GUS1;HER2;HTS1;ILS1;KRS1;MES1;MSD1;MSE1;MSF1;MSK1;MSM1;MST1;MSY1;NAM2;PET112;SES1;SLM5;THS1;TYS1;VAS1;WRS1;YDR341C;YHR020W,36,57.0,0.001,0.6465,1.0,1.0
pteridine-containing compound biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
transcription initiation at RNA polymerase III promoter,17,BDP1;BRF1;RPC17;RPC25;RPC31;SPT15;SUB1;TFC1;TFC3,9,111.0,0.001,0.07605882352941176,1.0,1.0
ncRNA catabolic process,31,AIR1;AIR2;ASC1;CDC48;CRT10;CSL4;DIS3;DOM34;FAP1;FPR1;HBS1;HEL2;JHD2;LRP1;MAG2;MET22;MMS1;MPP6;MTR3;MTR4;NAB3;NPL4;NRD1;PAP2;RAI1;RAT1;RPS3;RPT2;RPT6;RRP4;RRP40;RRP42;RRP43;RRP45;RRP46;RRP6;RTT101;SKI6;SKI7;SMU2;TRF5;UFD1;XRN1,43,135.0,0.001,0.036942857142857145,0.97,1.0
endoplasmic reticulum tubular network organization,-1,,0,0.0,1.0,1.0,1.0,1.0
intracellular calcium ion homeostasis,-1,,0,0.0,1.0,1.0,1.0,1.0
rRNA pseudouridine synthesis,-1,,0,0.0,1.0,1.0,1.0,1.0
glycogen catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
box C/D snoRNP assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
lipid modification,-1,,0,0.0,1.0,1.0,1.0,1.0
lysine metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
"SRP-dependent cotranslational protein targeting to membrane, translocation",58,KAR2;SBH2;SEC61;SIL1;SRP14;SRP54;SSA1;SSA2;SSA3;SSA4;SSH1,11,15.0,0.001,0.14366666666666666,1.0,1.0
Ras protein signal transduction,-1,,0,0.0,1.0,1.0,1.0,1.0
Rho protein signal transduction,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of fungal-type cell wall organization,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of lipid metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
cellular response to acid chemical,-1,,0,0.0,1.0,1.0,1.0,1.0
Golgi to vacuole transport,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of protein polymerization,-1,,0,0.0,1.0,1.0,1.0,1.0
proline metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
branched-chain amino acid catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
clathrin-dependent endocytosis,-1,,0,0.0,1.0,1.0,1.0,1.0
homoserine metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
septin ring organization,-1,,0,0.0,1.0,1.0,1.0,1.0
nucleoside monophosphate phosphorylation,-1,,0,0.0,1.0,1.0,1.0,1.0
sno(s)RNA processing,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of G2/M transition of mitotic cell cycle,-1,,0,0.0,1.0,1.0,1.0,1.0
"RNA splicing, via endonucleolytic cleavage and ligation",-1,,0,0.0,1.0,1.0,1.0,1.0
polyprenol metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of protein-containing complex disassembly,45,ABP1;AIM3;AIP1;ANB1;BIM1;BNI1;CAM1;CAP1;CAP2;DST1;ECM32;EFB1;HYP2;KIP2;MHP1;NAM7;NEW1;NPL3;SPT6;SRV2;SSU72;TPA1;TWF1,23,21.581460078048337,0.004,0.7388571428571429,1.0,1.0
regulation of Rho protein signal transduction,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of cellular amino acid metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
maintenance of rDNA,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of sporulation,-1,,0,0.0,1.0,1.0,1.0,1.0
GMP biosynthetic process,60,GUA1;HPT1;IMD2;IMD3;IMD4;XPT1,6,11.989700043360187,0.004,0.19892307692307692,1.0,1.0
regulation of cytoplasmic translational initiation,-1,,0,0.0,1.0,1.0,1.0,1.0
heteroduplex formation,-1,,0,0.0,1.0,1.0,1.0,1.0
maintenance of translational fidelity,5,ASC1;EFB1;EFT1;EFT2;MBP1;RPL2A;RPL3;RPS12;RPS3;SUI1,10,150.0,0.001,0.1293,1.0,1.0
regulation of conjugation with cellular fusion,-1,,0,0.0,1.0,1.0,1.0,1.0
nucleotide transport,-1,,0,0.0,1.0,1.0,1.0,1.0
iron coordination entity transport,-1,,0,0.0,1.0,1.0,1.0,1.0
reticulophagy,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of transcription elongation by RNA polymerase II,-1,,0,0.0,1.0,1.0,1.0,1.0
transcription preinitiation complex assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
karyogamy,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of cytoskeleton organization,-1,,0,0.0,1.0,1.0,1.0,1.0
calcium-mediated signaling,60,CMP2;CNA1;CNB1;CSG2;DPL1;LCB4;LCB5;PHO80;PHO85;RCN1,10,15.0,0.001,0.05621739130434782,1.0,1.0
regulation of MAPK cascade,-1,,0,0.0,1.0,1.0,1.0,1.0
"termination of RNA polymerase II transcription, exosome-dependent",43,NAB3;NRD1;PCF11;PTI1;RAT1;SSU72,6,30.0,0.001,0.11754545454545455,1.0,1.0
spindle elongation,-1,,0,0.0,1.0,1.0,1.0,1.0
carbohydrate transmembrane transport,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of cell cycle checkpoint,48,CDH1;FIN1;MND2;PPH3;PSY2;PSY4,6,16.366059924485402,0.009,0.6124736842105263,1.0,1.0
positive regulation of mitochondrial translation,59,ATP22;CBP3;CBP6;CBS2;MDM38;MSS51;PET54,7,11.505149978319906,0.005,1.0,1.0,1.0
sister chromatid biorientation,-1,,0,0.0,1.0,1.0,1.0,1.0
7-methylguanosine RNA capping,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of proteolysis,14,CDH1;RPT1;RPT2;RPT3;RPT4;RPT5;RPT6,7,123.0,0.001,0.06805263157894736,1.0,1.0
galactose metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
mitotic actomyosin contractile ring contraction,-1,,0,0.0,1.0,1.0,1.0,1.0
oligosaccharide-lipid intermediate biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of metaphase/anaphase transition of cell cycle,48,APC11;APC5;BUB1;BUB3;CDC16;CDC23;CDC55;CDH1;CEP3;CHL4;CTF19;CTF3;DSL1;FIN1;GAC1;GLC7;IBD2;ISC1;MAD1;MAD2;MND2;MPS1;SDS23;SDS24;SPC105;SWM1;TPD3;ULP2,28,24.0,0.001,0.11754545454545455,1.0,1.0
purine nucleobase metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
box C/D RNA metabolic process,50,NOP1;POP1;POP3;POP4;POP5;POP6;POP7;POP8;PXR1;RPP1;RPR2;YMR265C,12,19.0,0.001,0.2586,1.0,1.0
long-chain fatty acid metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
sulfate assimilation,-1,,0,0.0,1.0,1.0,1.0,1.0
protein polymerization,47,ABP1;AIM21;AIM3;AIP1;ARC15;ARC18;ARC19;ARC35;ASK1;BIM1;BNI1;BUD14;BZZ1;CAP1;CAP2;DAD1;DAD2;DAD3;DAD4;DAM1;DUO1;HSK3;HUL5;KIP2;LAS17;MMS2;NAP1;PFY1;RAD5;SLA1;SPC110;SPC19;SPC34;SPC72;SPC97;SPC98;SRV2;STU2;TDA2;TUB4;TWF1;UFD4,42,27.0,0.001,0.1293,1.0,1.0
glutamate metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
Golgi to plasma membrane transport,-1,,0,0.0,1.0,1.0,1.0,1.0
pentose catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
cellular modified amino acid metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
rRNA base methylation,3,BMT5;BUD23;EMG1;NOP2;RCM1;TRM112,6,171.0,0.001,0.18471428571428572,1.0,1.0
carbohydrate derivative transport,-1,,0,0.0,1.0,1.0,1.0,1.0
nucleoside diphosphate metabolic process,38,ADK1;ADK2;CDC19;CDC8;EMI2;ENO1;ENO2;FBA1;GDA1;GLK1;GPM1;GPM2;HXK1;HXK2;PDA1;PDB1;PFK1;PFK2;PFK27;PGI1;PGK1;PYK2;TDH1;TDH2;TDH3;TPI1;URA6,27,70.4948500216801,0.001,0.061571428571428576,1.0,1.0
regulation of anatomical structure morphogenesis,-1,,0,0.0,1.0,1.0,1.0,1.0
DNA-templated transcription open complex formation,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of meiotic nuclear division,-1,,0,0.0,1.0,1.0,1.0,1.0
vitamin B6 metabolic process,42,BUD16;BUD17;PDX3;RKI1;YBL036C,5,36.0,0.001,0.6465,1.0,1.0
intra-Golgi vesicle-mediated transport,-1,,0,0.0,1.0,1.0,1.0,1.0
nuclear polyadenylation-dependent tRNA catabolic process,31,AIR1;AIR2;CSL4;DIS3;MTR3;MTR4;PAP2;RRP4;RRP40;RRP42;RRP43;RRP45;RRP46;RRP6;SKI6;TRF5,16,135.0,0.001,0.036942857142857145,0.989,1.0
amino acid catabolic process to alcohol via Ehrlich pathway,-1,,0,0.0,1.0,1.0,1.0,1.0
proteasomal ubiquitin-independent protein catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
DNA integration,-1,,0,0.0,1.0,1.0,1.0,1.0
autophagy of peroxisome,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of lipid metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of protein localization to cell division site,-1,,0,0.0,1.0,1.0,1.0,1.0
COPII-coated vesicle budding,-1,,0,0.0,1.0,1.0,1.0,1.0
pyrimidine nucleotide metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
glycogen metabolic process,60,AAP1;BMH1;BMH2;CDC28;GAC1;GDB1;GIP2;GLC3;GLC7;GLC8;GLG1;GLG2;GPH1;GSY1;GSY2;IGD1;PCL10;PCL6;PCL7;PCL8;PGM1;PHO85;PIG2;PPG1;PSK1;SAK1;SHP1;UGP1,28,15.0,0.001,0.05621739130434782,1.0,1.0
chaperone-mediated protein complex assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
formin-nucleated actin cable organization,-1,,0,0.0,1.0,1.0,1.0,1.0
ceramide metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
tyrosine metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
serine family amino acid catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
inner mitochondrial membrane organization,19,AIM24;ATP14;ATP20;MDM38;MIC10;MIC19;MIC26;MIC27;MIC60;MRX15;OXA1;PHB1;TAZ1;TIM11;TIM18;TIM54;TOM70;TOM71,18,123.0,0.001,0.21550000000000002,1.0,1.0
DNA repair complex assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
NLS-bearing protein import into nucleus,-1,,0,0.0,1.0,1.0,1.0,1.0
double-strand break repair via single-strand annealing,-1,,0,0.0,1.0,1.0,1.0,1.0
cotranslational protein targeting to membrane,58,BTT1;EGD1;EGD2;KAR2;SBH2;SEC61;SEC63;SEC65;SIL1;SRP101;SRP14;SRP21;SRP54;SRP68;SRP72;SSA1;SSA2;SSA3;SSA4;SSH1,20,15.0,0.001,0.14366666666666666,1.0,1.0
regulation of mitotic spindle organization,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of nuclear-transcribed mRNA poly(A) tail shortening,-1,,0,0.0,1.0,1.0,1.0,1.0
nucleobase-containing small molecule biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
facultative heterochromatin formation,-1,,0,0.0,1.0,1.0,1.0,1.0
aspartate family amino acid catabolic process,34,ARO10;ASP1;CHA1;GLY1;ILV1;KGD2,6,69.0,0.001,0.09946153846153846,0.997,1.0
negative regulation of actin filament depolymerization,-1,,0,0.0,1.0,1.0,1.0,1.0
pyrimidine nucleoside monophosphate biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
tetrahydrofolate interconversion,-1,,0,0.0,1.0,1.0,1.0,1.0
nitrogen catabolite activation of transcription from RNA polymerase II promoter,-1,,0,0.0,1.0,1.0,1.0,1.0
assembly of actomyosin apparatus involved in cytokinesis,-1,,0,0.0,1.0,1.0,1.0,1.0
secondary alcohol biosynthetic process,10,ERG1;ERG10;ERG11;ERG2;ERG20;ERG24;ERG25;ERG26;ERG27;ERG28;ERG29;ERG3;ERG4;ERG5;ERG6;ERG7;ERG9;HMG1;HMG2;IDI1;MCR1;MOT3;NCP1;RRI1,24,133.1938200260161,0.001,0.044586206896551725,0.985,1.0
cellular bud neck septin ring organization,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of reproductive process,-1,,0,0.0,1.0,1.0,1.0,1.0
RNA decapping,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of vacuole organization,-1,,0,0.0,1.0,1.0,1.0,1.0
mitochondrial respiratory chain complex assembly,18,CBP3;CBP6;CMC2;COA3;COI1;COX12;FMP25;FMP32;MRP7;MRPL35;MSS51;MZM1;QCR7;QCR9;RCF2;SDH5;SDH6;SDH7;SDH8;TCM62,20,93.0,0.001,0.07605882352941176,1.0,1.0
beta-glucan biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of catalytic activity,-1,,0,0.0,1.0,1.0,1.0,1.0
mitochondrial fission,-1,,0,0.0,1.0,1.0,1.0,1.0
tRNA wobble base modification,-1,,0,0.0,1.0,1.0,1.0,1.0
G2/M transition of mitotic cell cycle,-1,,0,0.0,1.0,1.0,1.0,1.0
mitotic G2/M transition checkpoint,-1,,0,0.0,1.0,1.0,1.0,1.0
P-body assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
sno(s)RNA metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of Arp2/3 complex-mediated actin nucleation,-1,,0,0.0,1.0,1.0,1.0,1.0
termination of RNA polymerase I transcription,-1,,0,0.0,1.0,1.0,1.0,1.0
ethanol metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of lipid localization,-1,,0,0.0,1.0,1.0,1.0,1.0
nuclear migration involved in conjugation with cellular fusion,-1,,0,0.0,1.0,1.0,1.0,1.0
vacuole fusion,-1,,0,0.0,1.0,1.0,1.0,1.0
ER to Golgi ceramide transport,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of microtubule polymerization,-1,,0,0.0,1.0,1.0,1.0,1.0
biological process involved in interspecies interaction between organisms,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of mRNA catabolic process,4,ATP25;HEK2;IGO1;IGO2;NAB2;NAB6,6,153.84129024715307,0.002,1.0,1.0,1.0
DNA amplification,-1,,0,0.0,1.0,1.0,1.0,1.0
D-xylose metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
chaperone-mediated protein folding,-1,,0,0.0,1.0,1.0,1.0,1.0
leucine biosynthetic process,42,BAT1;BAT2;LEU1;LEU4;LEU9,5,29.344969904072176,0.009,1.0,0.999,1.0
intracellular nitrogen homeostasis,-1,,0,0.0,1.0,1.0,1.0,1.0
