 Domain ID                                                                                                                                          Annotation                                                                                                                                                                                                       Annotation Members in Network  Annotation Members in Network Count  Summed Significance Score  Enrichment P-value  Enrichment Q-value  Depletion P-value  Depletion Q-value
        31                                                                                      regulation of transcription-coupled nucleotide-excision repair                                                                                                                                                                                                 CDC73;CTR9;LEO1;PAF1;RTF1;SPT4;SPT5                                    7                   9.317052               0.028            1.000000              1.000                1.0
        31                                                                                                                       regulation of rRNA processing                                                                                                                                                                                                            CCM1;NAN1;RIO1;SPT4;SPT5                                    5                   8.969100               0.032            1.000000              1.000                1.0
        31                                                                                                                               regulation of binding                                                                                                                                                                                           CDC28;GRX3;MPT5;SBA1;SNU13;SPT6;SUA7;YHC1                                    8                   8.662185               0.036            1.000000              0.996                1.0
        31                                                                                                                            regulation of DNA repair                                                                                                                                                                                 BDF1;CDC28;CDC73;CTR9;HHO1;LEO1;PAF1;RTF1;SPT4;SPT5                                   10                   8.139284               0.044            1.000000              0.996                1.0
        32                                                                                                                                  rRNA transcription                                                                       BUD27;CDC73;CTR9;HHT1;HHT2;HPR1;LEO1;MOT1;PAF1;RPA12;RPA135;RPA14;RPA190;RPA34;RPA43;RPA49;RRN10;RRN9;RSC9;RTF1;SPT15;SPT4;SPT5;TFC1;TFC3;TFC4;TFC6;TFC8;TOP2                                   29                 218.917600               0.001            0.127636              1.000                1.0
        32                                                                                                            tRNA transcription by RNA polymerase III                                                                                                                            BUD27;RET1;RPB10;RPB5;RPB8;RPC10;RPC11;RPC17;RPC19;RPC25;RPC31;RPC34;RPC37;RPC40;RPC53;RPC82;RPO26;RPO31                                   18                 141.000000               0.001            0.127636              1.000                1.0
        32                                                                                                                 transcription by RNA polymerase III                            BDP1;BRF1;BUD27;CKA1;CKA2;CKB1;CKB2;GTR1;HIR1;HIR2;MAF1;NAB2;PAF1;RET1;RPB10;RPB5;RPB8;RPC10;RPC11;RPC17;RPC19;RPC25;RPC31;RPC34;RPC37;RPC40;RPC53;RPC82;RPO26;RPO31;SEN1;SPT15;TFC1;TFC3;TFC4;TFC6;TFC8                                   37                 141.000000               0.001            0.127636              1.000                1.0
        32                                                                                                   RNA polymerase III preinitiation complex assembly                                                                                                                                                                                                                     BDP1;BRF1;SPT15                                    3                 123.000000               0.001            0.127636              1.000                1.0
        32                                                                                                            negative regulation of DNA recombination                                                                                                                                                                                                 CDC73;HHO1;HST1;PAF1;RPD3;SET2;SIR2                                    7                 123.000000               0.001            0.127636              1.000                1.0
        32                                                                                              nucleolar large rRNA transcription by RNA polymerase I                                                                                                                    BUD27;CDC73;CTR9;HPR1;LEO1;MOT1;PAF1;RPA12;RPA135;RPA14;RPA190;RPA34;RPA43;RPA49;RRN10;RRN9;RTF1;SPT15;SPT4;SPT5                                   20                 123.000000               0.001            0.127636              1.000                1.0
        32                                                                                                        transcription elongation by RNA polymerase I                                                                                                                                                                          BUD27;CDC73;CTR9;HPR1;LEO1;PAF1;RPA34;RPA49;RTF1;SPT4;SPT5                                   11                 123.000000               0.001            0.127636              1.000                1.0
        32                                                                                             transcription initiation at RNA polymerase III promoter                                                                                                                                                                                         BDP1;BRF1;RPC17;RPC25;RPC31;SPT15;TFC1;TFC3                                    8                 123.000000               0.001            0.127636              1.000                1.0
        32                                                                                 positive regulation of transcription elongation by RNA polymerase I                                                                                                                                                                                      BUD27;CDC73;CTR9;HPR1;LEO1;PAF1;RTF1;SPT4;SPT5                                    9                  87.141209               0.012            1.000000              1.000                1.0
        32                                                                                      negative regulation of DNA-templated transcription, elongation                                                                                                                                                                                                                           SPT4;SPT5                                    2                  76.247981               0.028            1.000000              1.000                1.0
        32                                                                                                     termination of RNA polymerase III transcription                                                                                                                                                                                                                          RPC11;SEN1                                    2                  69.897000               0.040            1.000000              1.000                1.0
        32                                                                                                     RNA polymerase I preinitiation complex assembly                                                                                                                                                                                                                         RPA49;SPT15                                    2                  55.618440               0.044            1.000000              1.000                1.0
        32                                                                                               transcription initiation at RNA polymerase I promoter                                                                                                                                                                                                                         RPA49;SPT15                                    2                  55.618440               0.044            1.000000              1.000                1.0
        33                                                                                                                                 nucleosome assembly                                                                                                                                                                                  ASF1;FPR3;FPR4;HHF1;HHF2;HHO1;NAP1;SPN1;SPT16;SPT6                                   10                 188.336140               0.001            0.156000              0.972                1.0
        33                                                                                                                             nucleosome organization                                                                          ARP7;ARP9;ASF1;CHD1;FPR3;FPR4;HHF1;HHF2;HHO1;HTL1;LDB7;NAP1;NPL6;ORC1;RSC1;RSC2;RSC3;RSC30;RSC4;RSC58;RSC6;RSC8;RSC9;RTT102;SFH1;SPN1;SPT16;SPT6;STH1;YTA7                                   30                 153.913683               0.001            0.156000              0.908                1.0
        33                                                                                                                               DNA strand elongation                                                                                                                                                    DPB4;MCM10;MCM2;MCM3;MCM4;MCM6;MCM7;POL1;POL2;PSF1;RFC1;RFC2;RFC3;RFC4;RFC5;TOP2                                   16                 131.917600               0.001            0.140400              0.996                1.0
        33                                                                                                   DNA strand elongation involved in DNA replication                                                                                                                                                    DPB4;MCM10;MCM2;MCM3;MCM4;MCM6;MCM7;POL1;POL2;PSF1;RFC1;RFC2;RFC3;RFC4;RFC5;TOP2                                   16                 131.917600               0.001            0.140400              0.996                1.0
        33                                                                                                                              DNA topological change                                                                                                                                                                                                            HMO1;RFA1;RFA2;RFA3;TOP2                                    5                 122.292776               0.004            0.374400              0.988                1.0
        33                                                                                                                                base-excision repair                                                                                                                                                                                                                      APN1;POL2;STH1                                    3                 120.000000               0.001            0.156000              0.992                1.0
        33                                                                                                                  chromatin remodeling at centromere                                                                                                                                                                                                                      SFH1;STH1;TOP2                                    3                 120.000000               0.001            0.156000              0.996                1.0
        33                                                                                            double-strand break repair via nonhomologous end joining                                                                                                                                                                                CDC28;IRC20;POL2;RSC1;RSC2;RSC30;RSC8;SIN3;SIR2;SIR3                                   10                 120.000000               0.001            0.156000              0.956                1.0
        33                                                                                                                              nucleosome disassembly                                                                                                                             ARP7;ARP9;ASF1;HTL1;LDB7;NAP1;NPL6;RSC1;RSC2;RSC3;RSC30;RSC4;RSC58;RSC6;RSC8;RSC9;RTT102;SFH1;STH1;YTA7                                   20                 120.000000               0.001            0.156000              0.928                1.0
        33                                                                                                                     protein-DNA complex disassembly                                                                                                                             ARP7;ARP9;ASF1;HTL1;LDB7;NAP1;NPL6;RSC1;RSC2;RSC3;RSC30;RSC4;RSC58;RSC6;RSC8;RSC9;RTT102;SFH1;STH1;YTA7                                   20                 120.000000               0.001            0.156000              0.928                1.0
        33                                                                                                                                     mismatch repair                                                                                                                                                                                                            HSM3;MSH3;RFC1;RFC2;RFC3                                    5                 107.442513               0.004            0.374400              0.984                1.0
        33                                                                                                                           leading strand elongation                                                                                                                                                                                             DPB4;POL1;POL2;RFC1;RFC2;RFC3;RFC4;RFC5                                    8                  94.832750               0.001            0.175500              0.968                1.0
        33                                                                                                            global genome nucleotide-excision repair                                                                                                                                                                                                                 HHT1;HHT2;PAF1;RTF1                                    4                  83.876401               0.008            0.702000              0.992                1.0
        33                                                                                                                              copper ion homeostasis                                                                                                                                                                                                       CCC2;HAA1;HHT1;HHT2;SOD1;TMN2                                    6                  76.832750               0.012            0.802286              0.980                1.0
        33                                                                                                                intracellular copper ion homeostasis                                                                                                                                                                                                            HAA1;HHT1;HHT2;SOD1;TMN2                                    5                  76.832750               0.012            0.802286              0.984                1.0
        33                                                                                                  negative regulation of nucleocytoplasmic transport                                                                                                                                                                                                                           ISW1;SCS2                                    2                  54.261893               0.044            1.000000              0.988                1.0
        35                                                                                                                           regulation of proteolysis                                                                                                                                                                        BLM10;MND2;PBI2;PHB1;PHB2;RPT1;RPT2;RPT3;RPT4;RPT5;RPT6;UBP6                                   12                 201.136231               0.001            0.073895              1.000                1.0
        35                                                                                         proteasomal ubiquitin-independent protein catabolic process                                                                                                                                              BLM10;PRE1;PRE10;PRE2;PRE3;PRE4;PRE5;PRE6;PRE7;PRE8;PRE9;PUP1;PUP2;PUP3;SCL1;SSE1;SSE2                                   17                 135.000000               0.001            0.073895              1.000                1.0
        35                                                                                                    positive regulation of protein catabolic process                                                                                                                                                                                                       RPT1;RPT2;RPT3;RPT4;RPT5;RPT6                                    6                 125.287369               0.001            0.073895              1.000                1.0
        35                                                                                                                  positive regulation of proteolysis                                                                                                                                                                                                       RPT1;RPT2;RPT3;RPT4;RPT5;RPT6                                    6                 125.287369               0.001            0.073895              1.000                1.0
        35                                                                            positive regulation of proteolysis involved in protein catabolic process                                                                                                                                                                                                       RPT1;RPT2;RPT3;RPT4;RPT5;RPT6                                    6                 125.287369               0.001            0.073895              1.000                1.0
        35                                                                                                             proteasome regulatory particle assembly                                                                                                                                                                                       HSM3;NAS6;RPN14;RPT1;RPT2;RPT3;RPT4;RPT5;RPT6                                    9                 121.453650               0.001            0.073895              1.000                1.0
        35                                                                                                                    proteasome core complex assembly                                                                                                                                                                                                                           PRE2;PRE9                                    2                 108.000000               0.001            0.073895              0.988                1.0
        35                                                                                                                               protein deneddylation                                                                                                                                                                                                                           RPN5;RRI2                                    2                 108.000000               0.001            0.073895              0.996                1.0
        35                                                                                                             regulation of protein catabolic process                                                                                                                                                                        BLM10;MND2;RPN1;RPN2;RPN3;RPT1;RPT2;RPT3;RPT4;RPT5;RPT6;UBP6                                   12                 108.000000               0.001            0.073895              1.000                1.0
        35                                                                                                                           peptide catabolic process                                                                                                                                                                                                                           APE2;RPT2                                    2                  50.325840               0.040            1.000000              0.996                1.0
        36                                                                                                regulation of DNA-templated transcription initiation                                                                                                                                                   CHD1;CTR9;DCP2;ISW1;MOT1;POB3;RPT1;RPT3;RPT4;RPT5;RPT6;SGF73;SPT16;SPT6;TAF6;XRN1                                   16                 298.592148               0.008            1.000000              1.000                1.0
        36                                                                                         regulation of transcription initiation by RNA polymerase II                                                                                                                                                        CHD1;CTR9;DCP2;ISW1;MOT1;POB3;RPT1;RPT3;RPT4;RPT5;RPT6;SGF73;SPT16;SPT6;XRN1                                   15                 290.464338               0.016            1.000000              0.992                1.0
        36                                                                        regulation of RNA polymerase II transcription preinitiation complex assembly                                                                                                                                                                                      MOT1;POB3;RPT1;RPT3;RPT4;RPT5;RPT6;SGF73;SPT16                                    9                 256.740051               0.008            1.000000              1.000                1.0
        36                                                                                       positive regulation of DNA-templated transcription initiation                                                                                                                                                                            DCP2;POB3;RPT1;RPT3;RPT4;RPT5;RPT6;SGF73;SPT16;TAF6;XRN1                                   11                 238.138705               0.012            1.000000              1.000                1.0
        36                                                                                        SAGA complex localization to transcription regulatory region                                                                                                                                                                                                                          SEM1;SGF29                                    2                  95.707406               0.024            1.000000              1.000                1.0
        39                                                                                                                         aminophospholipid transport                                                                                                                                                                                                            DNF1;DNF2;DRS2;LEM3;MMM1                                    5                  45.000000               0.001            0.156000              1.000                1.0
        39                                                                                                                                  ceramide transport                                                                                                                                                                                                                 DNF1;DNF2;NVJ2;OSH3                                    4                  45.000000               0.001            0.156000              1.000                1.0
        39                                                                                                                                 lipid translocation                                                                                                                                                                                                            DNF1;DNF2;DRS2;LEM3;YPK1                                    5                  45.000000               0.001            0.156000              1.000                1.0
        39                                                                                                                          phospholipid translocation                                                                                                                                                                                                            DNF1;DNF2;DRS2;LEM3;YPK1                                    5                  45.000000               0.001            0.156000              1.000                1.0
        39                                                                                                                              phospholipid transport                                                                                                                                                                                      DNF1;DNF2;DRS2;LEM3;MDM10;MMM1;NVJ2;PDR16;YPK1                                    9                  45.000000               0.001            0.156000              1.000                1.0
        39                                                                                                           regulation of membrane lipid distribution                                                                                                                                                                                                            DNF1;DNF2;DRS2;LEM3;YPK1                                    5                  45.000000               0.001            0.156000              1.000                1.0
        39                                                                                                            amino acid import across plasma membrane                                                                                                                                                                                                                           GNP1;MUP3                                    2                  31.453650               0.008            0.864000              1.000                1.0
        39                                                                                                          L-alpha-amino acid transmembrane transport                                                                                                                                                                                                            AVT3;GNP1;MUP3;QDR2;TAT1                                    5                  28.812281               0.012            1.000000              1.000                1.0
        39                                                                                                  endoplasmic reticulum tubular network organization                                                                                                                                                                                                                PER33;RTN1;RTN2;YOP1                                    4                  22.422750               0.032            1.000000              0.996                1.0
        39                                                                                                                               iron import into cell                                                                                                                                                                                                                     AIM14;ENB1;SIT1                                    3                  22.422750               0.032            1.000000              0.996                1.0
        39                                                                                                                    amino sugar biosynthetic process                                                                                                                                                                                                                 BCH1;BMH1;BMH2;CHS3                                    4                  21.655462               0.036            1.000000              1.000                1.0
        39                                                                                                               cell wall chitin biosynthetic process                                                                                                                                                                                                                 BCH1;BMH1;BMH2;CHS3                                    4                  21.655462               0.036            1.000000              1.000                1.0
        39                                                                                                   fungal-type cell wall chitin biosynthetic process                                                                                                                                                                                                                 BCH1;BMH1;BMH2;CHS3                                    4                  21.655462               0.036            1.000000              1.000                1.0
        39                                                                                                glucosamine-containing compound biosynthetic process                                                                                                                                                                                                                 BCH1;BMH1;BMH2;CHS3                                    4                  21.655462               0.036            1.000000              1.000                1.0
        39                                                                                                      regulation of conjugation with cellular fusion                                                                                                                                                                                                         AKR1;CDC24;MDG1;PRR1;SCP160                                    5                  20.969100               0.040            1.000000              0.996                1.0
        39                                                             signal transduction involved in positive regulation of conjugation with cellular fusion                                                                                                                                                                                                              AKR1;CDC24;MDG1;SCP160                                    4                  20.969100               0.040            1.000000              0.996                1.0
        40                                                                                                                 vesicle fusion with Golgi apparatus                                                                                                                                                                                              BOS1;HRR25;SEC17;SEC18;SEC22;SLY1;YIP1                                    7                 126.000000               0.001            0.100286              1.000                1.0
        40                                                                                                                                 N-glycan processing                                                                                                                                                                                                                           KTR3;MNN1                                    2                 120.000000               0.001            0.100286              0.992                1.0
        40                                                                                                             intracellular manganese ion homeostasis                                                                                                                                                                                                                 GDT1;PMR1;SMF3;SPF1                                    4                 120.000000               0.001            0.100286              0.996                1.0
        40                                                                                        maintenance of protein localization in endoplasmic reticulum                                                                                                                                                                                                 EMP24;EPS1;ERD2;ERP1;ERP2;ERP4;RER1                                    7                 120.000000               0.001            0.100286              0.992                1.0
        40                                                                                                                             manganese ion transport                                                                                                                                                                                                                      GDT1;PMR1;SMF3                                    3                 120.000000               0.001            0.100286              0.996                1.0
        42                                                                                                                    lipoprotein biosynthetic process                                                                                                                                                                                                AKR1;CDC1;CWH43;DPM1;GAA1;GPI16;MCD4                                    7                 155.348210               0.001            0.032651              0.992                1.0
        42                                                                                                                   sphingolipid biosynthetic process                                                                                                                                                        AUR1;ELO3;FLC1;FLC2;IFA38;LAC1;LAG1;LCB1;LCB2;LCB5;LIP1;NPR1;SEI1;TIM54;YPK1                                   15                 141.290730               0.001            0.032651              1.000                1.0
        42                                                                                     post-translational protein targeting to membrane, translocation                                                                                                                                                                                   KAR2;LHS1;SEC61;SEC62;SEC63;SEC66;SPC2;SSH1;STE24                                    9                 140.387640               0.001            0.032651              1.000                1.0
        42                                                                              post-translational protein targeting to endoplasmic reticulum membrane                                                                                                                                                                         KAR2;LHS1;MDY2;SEC61;SEC62;SEC63;SEC66;SGT2;SPC2;SSH1;STE24                                   11                 140.096910               0.001            0.032651              1.000                1.0
        42                                                                                                                     GPI anchor biosynthetic process                                                                                                                                                                                                     CDC1;CWH43;DPM1;GAA1;GPI16;MCD4                                    6                 135.000000               0.001            0.032651              0.992                1.0
        42                                                                                                                        GPI anchor metabolic process                                                                                                                                                                                                     CDC1;CWH43;DPM1;GAA1;GPI16;MCD4                                    6                 135.000000               0.001            0.032651              0.992                1.0
        42                                                                                                                       ceramide biosynthetic process                                                                                                                                                                                                            LAC1;LAG1;LCB1;LCB2;LIP1                                    5                 135.000000               0.001            0.032651              0.996                1.0
        42                                                                                                                          ceramide metabolic process                                                                                                                                                                                                            LAC1;LAG1;LCB1;LCB2;LIP1                                    5                 135.000000               0.001            0.032651              0.996                1.0
        42                                                                                                                        coenzyme A metabolic process                                                                                                                                                                                                                 CAB3;HMG1;HMG2;SIS2                                    4                 135.000000               0.001            0.032651              0.996                1.0
        42                                                                                                                     glycolipid biosynthetic process                                                                                                                                                                                                     CDC1;CWH43;DPM1;GAA1;GPI16;MCD4                                    6                 135.000000               0.001            0.032651              0.992                1.0
        42                                                                                                                     isoprenoid biosynthetic process                                                                                                                                                                                                                           HMG1;HMG2                                    2                 135.000000               0.001            0.032651              1.000                1.0
        42                                                                                                                        isoprenoid metabolic process                                                                                                                                                                                                            ALG9;DPM1;HMG1;HMG2;OST1                                    5                 135.000000               0.001            0.032651              0.996                1.0
        42                                                                                                                    liposaccharide metabolic process                                                                                                                                                                                                     CDC1;CWH43;DPM1;GAA1;GPI16;MCD4                                    6                 135.000000               0.001            0.032651              0.992                1.0
        42                                                                                        negative regulation of establishment of protein localization                                                                                                                                                                                                                     SCS2;SPC2;STE24                                    3                 135.000000               0.001            0.032651              0.996                1.0
        42                                                                                                      negative regulation of intracellular transport                                                                                                                                                                                                                ISW1;SCS2;SPC2;STE24                                    4                 135.000000               0.001            0.032651              0.996                1.0
        42                                                              negative regulation of post-translational protein targeting to membrane, translocation                                                                                                                                                                                                                          SPC2;STE24                                    2                 135.000000               0.001            0.032651              1.000                1.0
        42                                                                                                         negative regulation of protein localization                                                                                                                                                                                                                     SCS2;SPC2;STE24                                    3                 135.000000               0.001            0.032651              0.996                1.0
